250 14834
78 158 10
28 61 -2
204 152 0
28 127 5
136 88 8
235 145 18
115 133 13
134 234 -1
121 23 11
79 83 11
219 11 10
191 41 2
96 10 5
35 223 3
133 99 5
196 127 10
236 93 8
24 77 17
147 223 8
148 156 14
21 89 -1
166 218 12
239 52 18
67 161 7
119 234 13
238 27 18
115 226 -2
250 115 9
12 71 0
110 162 15
41 55 20
132 248 1
28 239 3
29 14 19
144 223 16
202 172 16
39 136 11
219 247 19
216 156 10
87 248 2
74 238 10
56 128 14
233 156 7
127 195 0
201 167 11
128 148 16
128 14 9
233 91 8
144 152 10
72 126 6
78 35 3
18 224 0
33 58 20
131 247 9
153 170 10
71 204 -2
58 231 -2
227 150 12
37 147 10
90 246 8
27 59 6
248 240 19
37 33 1
65 17 7
5 249 11
172 235 5
21 204 13
144 46 1
189 15 -1
246 108 18
131 17 0
141 36 14
134 23 7
194 245 17
98 47 16
198 150 18
52 245 9
83 140 0
95 111 19
81 63 19
45 175 6
74 159 4
181 111 10
50 225 -1
146 115 -1
39 21 4
102 139 0
34 203 6
131 162 18
139 196 10
222 110 0
146 20 19
243 58 2
203 227 19
211 164 16
192 214 16
132 233 12
139 10 12
209 190 18
14 7 18
129 218 10
156 106 10
108 51 5
184 154 9
43 16 8
119 60 4
143 52 10
32 3 8
66 39 -1
192 156 14
40 120 6
161 48 4
224 127 3
16 96 19
234 130 12
125 59 9
121 100 0
229 78 0
106 54 0
101 16 0
76 44 18
2 250 19
222 55 9
54 140 11
23 42 13
161 198 8
71 144 12
6 118 19
247 124 14
66 97 17
215 205 1
62 126 20
81 65 6
20 182 8
108 226 16
206 118 20
219 2 0
166 132 18
171 149 17
72 5 16
154 134 7
9 116 15
188 175 15
209 111 -1
208 205 7
151 86 9
140 74 1
13 92 15
112 237 15
39 13 5
239 243 3
40 134 1
192 145 9
201 224 13
75 56 2
240 171 4
33 211 15
37 36 4
200 60 6
141 50 11
6 89 15
112 204 -1
21 32 9
77 128 16
39 37 11
236 206 15
9 227 20
119 204 5
201 49 13
229 191 2
56 48 3
222 72 18
163 121 6
36 126 18
96 160 18
224 39 0
52 74 8
109 141 -1
231 110 12
54 51 6
181 90 4
133 55 6
198 171 5
160 207 14
237 153 7
55 60 1
25 10 19
231 121 12
67 120 -2
237 198 19
92 39 5
23 70 17
212 226 7
248 50 4
167 32 3
144 205 12
133 190 4
109 148 14
130 133 -1
143 8 6
144 207 10
20 69 3
24 21 -1
91 164 6
46 20 1
119 115 13
145 218 11
177 83 -1
137 195 11
22 15 9
99 119 0
132 10 -1
112 139 14
18 37 3
90 95 2
250 174 11
95 155 0
126 164 14
227 87 13
181 225 3
232 233 19
138 213 19
184 166 8
167 61 2
20 87 19
175 32 6
91 245 9
215 224 -1
182 46 7
212 159 -2
59 232 12
35 122 3
99 230 8
46 109 13
240 115 0
15 192 3
178 189 11
101 5 18
103 96 12
1 69 0
127 138 14
132 100 6
103 89 19
158 20 3
163 11 2
54 120 5
93 20 11
169 188 10
141 45 15
219 16 12
132 111 15
106 96 0
140 10 16
203 73 20
157 207 8
172 226 18
195 155 20
172 8 -1
80 58 6
148 6 15
15 212 6
247 197 18
154 86 1
224 250 14
15 214 18
14 244 20
52 120 -2
172 80 7
136 174 9
89 44 15
243 39 1
38 145 2
241 216 12
177 123 4
64 173 2
91 27 11
160 185 10
55 170 14
181 206 19
159 167 19
178 237 4
95 140 3
123 199 15
248 14 4
121 132 12
211 31 13
3 30 15
6 135 0
58 112 -2
222 62 10
81 149 20
195 142 1
86 95 15
17 231 19
50 101 17
204 96 12
57 237 3
10 103 9
195 9 1
195 82 0
90 73 -2
217 54 11
80 219 0
237 206 19
186 143 -2
122 227 4
212 202 10
187 195 10
105 181 13
36 238 3
239 73 11
65 239 16
179 72 15
136 44 -1
237 65 7
2 139 -1
42 7 20
171 179 4
169 157 20
232 248 -1
14 31 8
147 53 7
36 132 5
24 216 11
96 19 5
213 217 1
228 96 16
114 240 8
112 44 2
25 3 -1
137 71 13
198 97 8
177 203 12
123 100 12
144 1 18
208 104 12
143 211 10
62 121 1
138 85 11
51 178 0
75 106 7
40 212 8
146 89 2
13 62 18
129 2 16
153 201 11
212 124 6
199 176 6
47 107 9
121 223 2
86 140 11
176 135 16
206 141 4
227 135 5
41 67 8
229 215 7
108 149 1
158 187 17
168 7 8
219 223 9
222 185 -1
241 28 3
218 199 7
33 105 17
155 188 16
65 6 5
128 34 2
28 152 9
243 177 -2
153 69 16
115 179 8
140 134 17
157 17 -1
130 59 5
24 201 5
72 1 14
245 218 15
250 33 -2
225 14 5
85 33 20
50 190 20
206 228 18
54 76 3
29 143 13
141 39 13
99 63 18
125 166 8
245 1 1
25 23 5
229 239 16
56 53 7
193 62 20
125 57 13
106 157 8
16 124 -1
151 218 11
117 71 3
196 213 11
140 81 8
205 67 19
72 140 14
244 89 -1
243 145 17
188 149 11
118 47 5
159 34 18
194 6 16
234 202 12
29 44 3
96 122 3
248 147 -1
212 132 1
68 209 19
75 206 4
183 40 -2
131 64 12
130 71 7
225 227 8
28 25 -2
118 216 8
242 54 10
214 136 -1
222 238 15
164 146 -1
143 106 1
4 117 10
130 36 8
213 106 17
144 77 2
8 90 16
216 128 1
95 215 6
65 96 16
14 191 -2
192 48 19
67 200 19
41 157 11
59 9 -2
175 70 8
44 72 0
125 9 -1
6 36 13
232 149 14
175 106 9
2 229 -1
20 139 11
52 8 16
194 55 17
245 220 3
236 134 7
158 8 12
136 49 18
97 87 19
163 187 17
6 156 7
166 36 7
221 62 20
221 187 13
36 200 8
114 61 5
50 172 17
62 231 12
6 203 16
209 149 16
117 212 -1
235 203 2
148 162 14
53 208 18
34 103 8
1 158 9
237 192 20
120 175 11
188 75 1
149 49 19
70 28 9
45 95 17
100 2 2
36 207 17
204 95 8
205 123 8
107 159 11
186 18 0
203 232 9
79 111 1
124 65 13
173 194 20
138 35 2
19 14 2
40 209 8
1 12 5
13 145 5
82 115 16
61 184 15
179 34 12
134 129 20
184 22 13
117 67 14
9 155 7
159 147 14
90 37 7
189 235 7
192 76 18
237 247 -2
25 53 13
95 16 16
214 155 3
18 99 9
181 170 0
69 19 12
168 222 13
42 116 10
155 94 15
26 126 -1
157 160 -2
49 235 10
28 128 6
152 229 19
150 71 1
67 245 6
93 31 16
111 105 20
200 63 12
248 226 1
80 178 2
156 165 2
42 24 15
53 134 15
142 39 3
23 156 8
107 36 1
42 177 3
250 162 9
47 236 18
63 207 13
24 208 13
86 26 1
142 230 8
168 220 5
37 168 10
49 217 11
7 136 7
126 233 9
49 53 -1
53 209 18
36 104 4
227 139 5
78 103 14
141 59 17
118 75 7
77 106 13
188 159 12
41 219 1
37 58 18
105 167 3
200 57 -2
103 160 6
96 184 16
34 209 14
34 21 3
113 248 2
86 169 19
100 124 0
187 92 19
243 118 2
132 205 1
159 15 19
69 151 5
59 229 14
186 198 10
250 121 2
249 4 -1
93 57 16
53 78 17
105 201 7
126 239 5
100 90 17
112 154 19
60 45 9
98 114 7
247 242 5
86 10 8
27 3 20
214 110 5
139 45 5
116 72 0
40 138 17
108 198 3
108 88 0
219 91 4
173 139 10
84 166 20
75 36 19
51 144 20
247 42 7
74 201 7
92 117 10
103 118 7
149 122 20
179 86 10
72 24 10
193 123 20
37 85 4
29 18 1
34 174 15
32 128 1
90 238 12
73 93 8
49 17 16
35 207 13
231 87 5
149 205 9
89 73 11
149 73 20
167 35 5
120 231 1
239 31 9
243 211 6
193 98 3
184 206 1
112 143 -1
129 138 4
13 189 5
199 88 20
78 41 12
190 43 10
9 8 19
183 21 10
50 93 15
87 150 9
147 190 13
94 176 9
214 142 19
101 106 5
186 145 4
71 65 1
240 40 16
171 90 20
39 212 4
133 169 9
63 141 15
17 182 1
8 89 12
3 118 9
217 88 18
59 12 10
74 250 15
145 228 -2
145 127 11
185 59 15
137 10 15
137 7 16
71 14 18
247 35 18
126 146 19
83 188 -1
145 2 17
13 30 2
83 187 2
212 75 -1
65 89 7
148 223 14
31 124 14
167 244 13
159 246 16
178 45 7
134 145 20
106 41 11
218 91 1
192 191 -1
14 122 0
65 162 3
8 83 -2
39 107 18
154 219 15
202 87 18
78 102 -2
30 59 17
168 40 -1
31 248 18
101 98 12
211 232 13
26 106 3
187 16 1
195 146 -2
221 13 9
124 57 16
85 201 12
245 48 12
139 147 15
240 198 16
249 2 2
210 47 -1
41 142 19
135 169 -1
38 153 11
78 99 12
175 39 18
172 33 5
108 116 18
85 50 10
95 181 3
195 233 7
55 58 20
35 82 19
112 117 16
171 78 -2
213 201 13
3 249 3
247 66 18
7 159 13
1 214 6
242 227 14
12 98 4
208 142 -2
100 130 5
200 102 -1
249 104 1
75 198 15
95 188 12
205 93 7
98 63 2
149 115 8
248 194 0
86 57 15
31 48 3
176 13 2
19 154 17
218 173 13
232 152 4
197 158 15
188 132 -1
1 186 3
70 45 19
123 16 18
90 221 5
246 228 14
176 15 2
231 78 2
204 180 16
85 34 12
145 148 15
150 42 18
205 209 2
60 14 1
54 183 17
1 248 20
58 206 17
93 66 8
191 53 13
142 108 5
219 149 11
16 30 16
62 192 10
159 46 8
10 214 7
179 173 7
170 98 2
224 168 2
127 167 4
71 3 0
101 153 5
219 209 6
244 99 1
137 18 -1
237 74 2
140 160 17
84 246 14
75 93 17
55 32 10
207 177 7
124 26 17
9 142 -2
127 208 19
118 183 -1
221 181 18
38 72 15
136 32 15
201 82 11
169 166 3
180 197 0
65 228 8
128 161 2
19 109 11
5 181 1
169 115 20
58 240 10
76 142 15
41 158 15
19 56 13
196 226 16
166 192 20
146 100 15
78 191 3
70 145 20
172 215 16
216 215 7
154 230 20
73 183 20
4 88 5
144 232 9
188 221 7
183 197 20
217 202 -1
233 85 12
78 168 9
206 250 -2
133 187 14
62 130 20
100 205 9
79 114 2
228 201 5
79 149 6
109 24 19
55 64 7
122 52 10
63 56 11
119 84 2
244 130 0
210 85 7
73 175 6
45 13 17
128 147 3
243 209 20
200 231 2
3 144 12
227 38 9
31 88 19
161 173 15
5 19 9
81 153 13
220 7 7
11 244 7
240 223 -1
114 26 7
224 91 5
240 69 11
175 5 1
102 246 14
186 130 11
185 177 4
235 214 20
85 57 17
25 139 10
68 58 19
247 115 11
116 149 13
175 95 6
144 22 8
32 210 12
177 32 1
198 178 3
180 69 20
3 200 20
5 221 7
174 2 12
170 142 7
232 139 7
143 7 19
142 85 2
62 112 13
182 209 12
187 107 3
144 141 2
184 108 20
53 248 20
200 61 10
45 188 -1
231 28 9
200 168 7
184 125 6
72 50 14
135 181 12
213 111 19
175 102 17
