5000 15000
96 3872 14
4559 4492 5
663 3925 17
3643 853 14
1995 818 9
2751 2110 17
3709 3059 2
3039 1786 3
2370 1738 8
1073 3587 6
3587 2707 1
3434 1709 10
3151 4990 20
4857 3046 15
1914 3154 6
1961 1859 8
2644 873 11
926 1932 19
4553 690 9
656 978 2
1323 3115 3
1831 3674 12
338 1075 16
1449 744 19
3494 4424 17
2887 4642 7
2861 2263 8
51 2685 3
4864 1177 11
95 1230 2
3121 1892 10
3234 3596 9
584 2031 9
1833 1152 20
1061 1968 7
995 2244 20
4733 2565 7
4782 1323 2
4178 4273 17
1725 4894 5
2907 1206 10
1019 2662 13
2541 3803 18
3824 3250 13
2046 475 12
1125 190 12
4212 4648 6
3008 1103 2
1613 4406 15
1596 1223 11
1631 2795 16
223 2777 6
4923 2056 16
1383 1662 10
2995 3427 9
2680 45 6
2599 2090 20
4736 862 1
2637 515 1
4300 4359 7
4511 4613 5
998 3374 20
1257 4551 15
1881 1738 12
4399 1520 9
4727 1845 3
412 1802 8
4914 4702 4
4005 3732 5
4991 4371 18
248 2347 11
3520 669 6
3076 3099 14
4295 1233 18
1114 4358 2
623 4271 2
3362 2033 9
4447 3839 16
1132 1998 5
1828 4323 10
2990 2467 3
3023 2019 17
1965 4152 5
981 4784 13
3624 1942 11
53 1706 6
4929 3758 13
3500 4518 13
4219 3902 18
2970 3369 7
2979 1110 7
2402 728 3
1832 1929 8
1268 3425 20
3965 3209 2
3797 1881 3
1103 2074 3
1607 4034 9
2320 2989 12
4038 770 16
3440 4161 5
1520 1681 12
2043 1600 6
2920 623 8
1806 4347 2
163 646 3
2901 670 18
257 2005 1
697 2342 9
1696 2618 17
4044 4561 13
4521 809 3
3772 4553 10
4737 2759 7
4978 1763 5
3071 2128 15
1996 4325 6
1820 1732 5
3149 4828 5
2712 734 9
282 457 11
3069 2021 10
3202 4552 19
3158 2010 13
3340 1007 3
852 2222 2
3138 1627 2
2750 817 7
2776 2734 9
4088 1845 1
3524 4849 20
3759 2922 4
3494 2612 19
703 1722 12
3077 1536 9
2741 3834 7
2927 2968 8
3593 3879 14
3288 4389 11
3987 2701 16
1397 4412 2
4759 1349 6
4149 1080 8
3483 372 15
4894 2272 15
4049 2352 2
2649 82 2
1526 3786 10
3504 565 11
444 3325 2
1682 2513 9
340 4707 13
4543 1793 10
4904 848 9
4890 4830 12
872 3520 10
3877 4416 8
4327 267 13
3493 2839 4
34 985 9
4261 229 11
991 1126 13
23 2041 12
3990 2691 2
33 190 5
244 2946 12
1201 2054 4
3460 3538 1
3029 4795 5
532 1396 17
457 2595 19
4803 3201 17
978 530 1
2641 3622 9
1800 1834 8
4144 3717 10
2074 3918 11
2964 4491 8
2685 2386 2
1818 560 1
226 774 19
1545 3088 1
2960 3749 2
1560 2707 5
404 2217 19
3108 1323 15
4741 2982 12
3659 4335 17
250 72 12
643 1196 10
1600 3474 13
3283 2866 18
3963 3927 15
3105 216 16
3486 4626 18
491 921 17
2310 4695 5
2468 1773 4
575 1471 13
788 949 10
2224 1101 8
1172 3225 9
486 2731 6
1987 4597 5
4293 165 10
4275 162 3
444 1621 2
3027 4968 7
2244 534 5
975 1252 7
505 2640 14
1723 4090 9
3249 3927 19
290 1932 11
2099 454 1
913 1559 20
1730 3823 12
44 1011 3
1971 1000 4
4085 2390 11
4812 2238 3
4764 2915 11
4527 1672 6
4122 2655 16
1716 3679 16
4057 3677 10
4139 2343 19
1906 133 13
2547 3583 14
4636 2871 11
2581 1094 11
4591 3998 2
1648 3732 19
3169 4781 6
1566 2902 19
263 3990 2
2707 4096 18
801 700 8
1338 3571 4
4239 1043 9
2019 3833 10
1387 2761 5
3658 2787 12
1322 2015 14
3433 3193 19
725 2418 8
4456 4099 7
462 18 5
4385 2283 5
929 2612 16
1810 4498 1
3465 771 11
2021 863 17
4496 4010 14
3518 975 13
3946 907 5
3105 1660 18
3177 3816 15
521 4882 15
343 2922 16
763 1998 14
3775 778 17
3128 4953 7
1317 4031 13
409 2815 14
3571 1261 18
2452 4769 14
433 1082 14
3582 1603 2
4989 4170 7
31 1089 14
2566 3691 18
2392 4411 14
2139 4464 12
2260 1267 6
4278 1371 3
4345 2598 8
1877 167 16
1307 963 7
1815 595 4
2237 3602 12
1812 3708 9
676 4626 3
3857 3046 11
4381 2189 17
4070 3720 16
3950 3713 10
4700 2846 2
3488 2987 6
4444 2045 15
1877 3207 11
2166 495 3
3319 1560 11
880 4022 17
4576 98 20
4365 2494 19
4778 635 7
3500 2230 2
505 3486 14
3851 31 16
1774 111 20
2804 3886 8
3041 1513 16
2697 1018 10
4077 3638 7
172 1559 15
4955 3823 10
2857 1595 16
3464 2626 1
9 1141 6
1490 1059 10
3389 1692 6
1475 1687 9
318 958 19
150 4427 5
3918 523 12
1566 3587 5
4163 2086 14
3892 4158 18
3455 3734 11
1909 3702 4
4612 843 7
3948 2239 7
292 840 19
4561 3213 20
1128 2075 15
4811 1094 8
591 3654 7
4708 189 4
4238 27 7
3770 3480 1
3294 1269 18
968 2331 8
665 4093 9
3583 954 18
3055 829 19
307 4909 14
3753 4741 2
738 29 1
3891 1717 1
158 3286 5
2023 3854 7
4188 237 20
2893 2850 1
934 1815 18
3833 2150 17
2272 2653 12
4223 2606 13
151 4599 19
456 2996 18
829 2778 20
1378 4791 3
3776 3851 5
330 2496 15
2322 3924 15
4633 744 2
3652 4285 1
3780 2892 13
2095 1141 20
1344 190 2
3877 2356 19
1926 4162 18
4076 3001 19
2158 3089 1
3809 787 14
705 1576 1
1648 909 5
908 4793 3
1954 3999 18
3450 474 1
1894 4468 13
186 3075 6
347 727 19
634 1366 1
3257 3649 19
3620 3374 10
4384 4947 12
1302 2729 15
4569 3742 6
2857 811 18
4193 255 5
2067 611 19
1383 3436 16
2417 2485 10
2826 3318 17
1503 1455 3
400 373 13
1608 2014 20
1390 2441 14
2297 687 5
4831 2740 15
3291 4149 14
3865 1515 14
53 2357 4
429 2700 15
2026 84 2
2073 3016 13
3675 2389 6
1281 4585 3
4922 504 2
982 4703 20
1894 877 11
2328 2853 2
2786 2871 15
4093 1723 19
323 1083 20
2167 396 5
1138 3491 15
2578 1903 10
1583 2186 16
1142 2548 20
209 3701 17
140 190 15
1640 3335 7
1489 2268 7
1356 2895 3
4600 4937 14
1647 106 17
407 2858 13
2088 1134 6
3035 2727 13
2595 836 11
4844 3417 9
2697 4383 14
4090 1640 4
1276 2188 12
273 2175 8
3553 4909 8
970 1692 3
478 2305 18
3053 2738 11
4230 3274 8
1920 1909 18
967 4609 4
1602 2559 3
3079 4431 9
1765 2023 16
2046 2465 11
980 3463 10
2273 4585 2
430 3056 1
650 2359 14
3450 1122 1
1694 809 11
2100 1209 16
3237 4627 15
2601 877 2
994 1785 13
3530 1071 9
196 3170 6
189 3067 7
4239 2050 8
2288 4296 9
3635 1488 2
1856 4017 15
1212 3122 14
1511 1393 11
1188 4054 8
2624 4888 19
